	16S0064C	16S0064O	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0092O	16S0093C	16S0093O	16S0093W	16S0094C	16S0094O	16S0113C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0118O	16S0118W	16S0119C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	16SNEGCTRL
ASV_0547	0	0	0	0	0	0	0	0	0	0	72	575	0	0	201	414	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	133	252	0	0	0	752	0	0	0	0	0	97	0	0	37	0	0	0	0	0	0	0
ASV_0549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	1210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0550	0	0	0	1179	17	2	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	42	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0551	0	0	0	0	0	0	0	0	0	0	0	0	1269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	108	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	129	0	0	0	0	743	131	0	0	0	0	0	51	0	0	0	0
ASV_0553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	934	0	0	56	0	0	0	0	0	0	0	0	0	0	82	0	60	120	0	0	13	0	0	0	0	0	0	0
ASV_0554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	994	0	0	0	0	0	122	0	0	0	0	0	0	0
ASV_0555	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	93	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	376	0	35	98	0	0	312	0	60	0	0	0	0	0
ASV_0556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1189	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1225	0	30	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	976	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0559	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	119	0	0	0	25	0	0	0	0	0	0	8	13	91	0	0	0	70	0	28	42	0	242	486	21	0	0	85	0	0	0	0	0	0
ASV_0560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	561	0	0	0	0	0	664	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
ASV_0561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1241	0	0	0	0	0	0
ASV_0562	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	886	0	0	11	0	0	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	25	0	0	0	0	1	0	0	0	0	0
ASV_0563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1072	0	0	0	0	0
ASV_0564	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	100	0	1021	0	0	0
ASV_0565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1227	0	0	0	0
ASV_0566	40	0	21	0	0	0	0	0	0	0	0	0	11	0	0	0	90	0	0	0	27	76	0	301	0	0	0	0	0	0	7	0	0	0	54	0	0	0	0	91	30	0	0	0	286	0	122	0	69	0	0
ASV_0567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0
ASV_0568	0	0	0	0	0	0	0	0	0	0	20	1076	0	0	12	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0
ASV_0570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0571	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1173	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	866	0	0	0	0	0	0	0	112	93	0	0	0	0
ASV_0573	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	771	0	0	0	0	0	17	0	0	379	0	0	0	0	0	0	0
ASV_0574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1183	10	0	0	0	0	0
ASV_0575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	144	4	0	1006	0	0	25	5	0	0	0	0	0
ASV_0576	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	1166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0577	0	0	0	1186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	649	0	0	173	0	0	0	0	0	0	0	0	0
ASV_0579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	182	0	0	0	0	43	104	0	0	839	0	0	0
ASV_0580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	28	14	0	0	80	0	24	0	11	966	12	0	0	17	0	0	0
ASV_0581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1064	0	0	66	0	0	37	0	0	0	0	0	0	0	0	0	0
ASV_0582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	757	0	0	0	0	0	0	168	0	242	0	0	0	0
ASV_0583	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0585	9	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	27	0	0	0	4	174	0	0	7	742	0	0	0
ASV_0586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	824	0	0	319	0	0	0	0	0	0	0	0	0
ASV_0587	0	0	4	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	12	0	0	0	40	148	0	0	451	0	0	386	0	0	0	0	0	0	0	0	0
ASV_0588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1135	0	0	0	0	0
ASV_0589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	93	31	0	0	0	0	0	0
ASV_0590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0591	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0592	82	0	39	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	187	0	0	0	0	20	0	0	0	0	0	0	0	81	0	0	0	0	72	207	0	0	340	53	0	0	0	0	0	0
ASV_0593	0	0	0	0	0	0	0	0	0	1132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0594	0	0	22	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	22	35	24	7	0	0	0	0	215	315	0	0	0	0	347	0	0	0	0	0	0	0	0	44	0	0	0	0	8	88	0
ASV_0595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1131	0	0
ASV_0596	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	150	0	0	0	0	0	0	0	958	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0
ASV_0597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	58	0	0	0	0	40	0	0	0	0	0
ASV_0598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1102	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0
ASV_0599	0	0	0	8	941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0600	0	0	0	0	477	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	0	0	0
ASV_0601	0	0	0	0	0	0	0	0	0	1119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0602	3	0	37	0	0	37	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1019	5	0	0	0	0	0	0
ASV_0603	0	0	0	0	0	0	0	0	0	0	1108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0604	0	0	0	0	0	0	0	0	0	0	0	0	135	884	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0605	0	0	0	0	222	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0606	0	0	0	960	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0607	0	0	0	0	0	0	344	755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0608	0	0	0	0	0	0	0	0	0	0	20	844	0	0	55	171	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	557	0	0	0	0	0	0	0
ASV_0610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1014	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	12	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0
ASV_0611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	16	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	994	29	0	0	15	0	0	0
ASV_0612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	425	0	0	0	0	240	0	0	0	0	0	0	5	158	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0
ASV_0615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	757	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0
ASV_0616	0	0	0	1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0617	0	0	0	0	0	0	0	0	0	1069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0618	10	0	59	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	212	83	574	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0619	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	847	195	0	0	0	0	0	0
ASV_0620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	1036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	797	0	0	56	0	23	53	23	0	0	0	0	0
ASV_0622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	894	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1049	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	836	53	171	0	0	0	0	0
ASV_0626	0	0	5	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	802	50	0	0	0	0	0	0	0	0	0	0	0	159	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
ASV_0627	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	512	0	0	113	11	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	36	0	15	38	0	0	97	0	0	0	0	0	0	0
ASV_0628	0	0	0	0	0	0	0	0	0	952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0629	0	0	0	0	0	0	0	0	0	1055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0630	0	0	0	0	0	0	57	578	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	0	66	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	70	0	0	0	0	0	803	0	0	75	0	0	46	0	11	0	0	0	0	0	0	0
ASV_0634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	909	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1045	0	0
ASV_0636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
ASV_0637	0	0	0	0	0	0	0	0	0	0	637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0639	234	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564	0	0	0	0	0	0	0	0
ASV_0640	0	0	0	0	22	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0641	0	0	34	0	0	0	0	0	0	0	920	14	0	0	31	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	111	7	0	0	0	0	0	62	0	11	0	0	0	326	0	0	0	0	139	0	0	3	0	0	0	0	0	0	265	0
ASV_0643	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	0	0	0	0	118	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	354	0	0
ASV_0644	0	0	0	0	0	0	0	0	0	881	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	12	31	9	0	0	0	0	0
ASV_0645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	46	0	0	0	933	6	0	0	0	6	10	0	0	0	0	0	0	0	0	0	0
ASV_0646	0	0	0	0	0	147	0	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	971	0	0	22	0	2	0	0	0	10	0	0	0	0	0	0	0
ASV_0648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0649	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	31	0	0	0	44	0	24	0	0	0	0	6	21	0	0	0	0	167	0	0	15	0	432	220	14	0	0	0	0	2	0	11	0	0
ASV_0650	0	0	0	0	0	0	0	0	0	997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0651	0	0	0	0	0	0	0	0	0	0	984	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	428	108	78	141	154	26	10	28	0	0	0	0	0	0	0	0	0
ASV_0653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	735	0	0	14	0	0	80	0	0	134	7	0	0	4	0	0	0
ASV_0655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	857	0	0	125	0	0	0	0	0	0	0
ASV_0656	0	0	0	0	0	0	0	0	0	0	71	629	0	0	142	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	975	0	0	0	0	0	0
ASV_0658	0	0	36	0	0	0	0	0	0	0	0	0	37	0	0	0	0	106	0	0	18	0	0	0	0	0	17	0	0	0	0	0	0	0	46	0	18	27	0	66	91	7	0	244	258	0	0	0	0	0	0
ASV_0659	213	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	60	0	0	0	0	0	0	50	0	0	385	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	148	0	0	0	0
ASV_0660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	21	781	0	0	0	22	98	0	0	0	0	0
ASV_0661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942	0	0	0	0	8	13	0	0	0	0	0	0	0	0	0	0
ASV_0662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	940	0	0	0	12	0	9	0	0	0	0	0
ASV_0663	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	263	33	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	536	0	0
ASV_0664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	54	0	0	0	899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888	0	0	0	0	0	70	0
ASV_0666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	950	0	0	0
ASV_0667	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	42	0	0	0	0	0	0	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	20	0	72	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	131	0	0	186	36	74	0	11	0	0	0
ASV_0669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	952	0	0	0	0	0
ASV_0670	0	0	0	0	0	0	0	0	0	0	896	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	414	0	0	78	0	0	50	0	0	0	0	0	0	99	0	0	0
