	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	252	257	262	267	272	277	281
16S0064C_S1_L001_R1_001	37.61959098287725	37.65381611209596	37.592830314268056	37.75418220347617	37.81008075744918	37.73158506021151	37.77105365038613	37.820594847552485	37.539179928140136	37.556020131629886	37.68599275967697	37.45898893575402	37.51896407685881	37.58381579841065	37.489333980411814	37.36383049535078	37.49649185962005	37.26590141887807	37.39685659754532	37.304094981287655	37.26554415230695	37.29152816360907	37.295667293807604	37.146721094349616	36.867072383837424	37.22737640002988	37.00905663965659	36.83247186355949	36.74319869047538	36.644636586542056	36.59444267094118	36.60826651900174	36.69667318716548	36.68147770804465	36.725510093188795	36.835187600184746	36.678322058304126	36.37832885049039	36.3784375254707	36.505229983427064	36.51046540060314	36.24753171950988	36.18408183226017	36.02111611522733	36.10217147669925	35.52640208657379	35.67086471910723	35.75894367201668	35.70036881821948	35.61125880443125	35.75440092064996	35.36050837775605	35.233218764009834	34.668469888193016	35.06897797823636	34.63193223654715	34.360371693678765	34.3073238326835	34.121945901123595	33.40506734955882	33.70009985259854	33.33332376189276	27.867579404040963	23.85788546559823
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	252	257	262	267	272	277	280
16S0064C_S1_L001_R2_001	37.226372163471005	37.39589488626716	37.646263354864125	37.63735218805822	37.17311571611957	37.30672208977729	36.96392064171268	37.41862107844136	37.076362994206384	37.422871541998624	37.3092989927393	36.983807757877074	36.96650818447326	37.2381443999185	36.86934367549872	36.636863661371066	36.902278763015445	36.860736675519085	37.2064538915567	36.70306800969918	36.94140556547963	36.8995238709765	36.43222462965856	36.82259201651848	36.73242771464861	37.06045548091748	36.69815865080928	36.491964219005766	36.38370973109917	36.68550217688092	36.01581763758868	36.006790827831665	35.55468796696281	36.31781454614612	35.238024017170645	36.30083272203657	35.760640639008884	35.70462819572365	35.4959966854131	35.78702828266363	35.77008449479719	35.100069280299934	35.3823525416361	33.999445753835914	33.34168189258764	34.03487132115713	33.48904752525012	33.02715262825433	30.123304828598016	32.01444227312156	33.2993923338238	29.549726597789686	30.385470625394824	27.766481228645763	26.842778445716924	28.26630801730755	26.212998322227428	24.738932500079226	23.498919969025525	20.93310619547043	21.462405646639677	20.093410812012003	14.287145559582077	29.5
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	252	257	262	267	272	277	281
16S0064O_S9_L001_R1_001	37.375	37.645833333333336	37.354166666666664	37.666666666666664	37.770833333333336	37.729166666666664	37.645833333333336	37.5625	37.25	36.83333333333333	37.24166666666666	36.9	37.03333333333333	37.12916666666667	36.862500000000004	37.016666666666666	37.22083333333333	36.06666666666667	36.3875	35.637499999999996	35.91250000000001	35.97083333333333	35.108333333333334	35.575	33.74583333333333	35.75416666666667	34.93333333333333	33.8875	34.704166666666666	34.37916666666667	33.60416666666667	34.2625	34.425000000000004	33.87083333333334	34.2625	34.24583333333334	33.72083333333333	32.89583333333333	32.52916666666666	34.30833333333334	33.608333333333334	32.84583333333333	32.84166666666667	32.829166666666666	32.7875	32.41666666666667	32.6375	32.28333333333334	33.020833333333336	32.7125	33.14583333333333	31.7875	31.35	30.366666666666667	31.7125	31.22083333333333	30.416666666666664	29.29583333333333	31.633333333333336	29.075	29.76666666666667	29.65	25.74494680851064	29.916666666666668
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	252	257	262	267	272	276
16S0064O_S9_L001_R2_001	36.0	35.666666666666664	37.145833333333336	36.604166666666664	34.833333333333336	34.958333333333336	34.645833333333336	34.75	35.666666666666664	35.93333333333334	35.6	34.24583333333333	33.5125	34.954166666666666	33.454166666666666	32.83333333333333	34.6875	33.795833333333334	34.90833333333334	34.15833333333333	34.516666666666666	34.24583333333333	32.733333333333334	33.7375	33.208333333333336	34.37916666666667	34.6	32.92916666666667	32.829166666666666	32.825	33.19166666666666	32.69166666666667	31.2625	32.69583333333333	29.5125	32.641666666666666	31.508333333333333	30.579166666666662	32.27083333333333	32.020833333333336	32.00416666666667	30.295833333333338	33.20833333333333	29.90833333333334	28.554166666666667	28.825	30.070833333333333	29.57916666666667	24.85	27.820833333333336	30.133333333333333	25.329166666666666	25.741666666666667	21.695833333333333	21.620833333333334	22.4	22.595833333333335	21.258333333333333	20.554166666666667	17.779166666666665	17.42083333333333	16.28111111111111	11.09375
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	252	257	262	267	272	277	282
16S0064W_S17_L001_R1_001	37.663790449476636	37.68970205924608	37.7125436136006	37.760663952931516	37.81285489498529	37.73123760005473	37.77542416364507	37.8151381952521	37.61369467058904	37.61368269822809	37.73687658206198	37.54903365943765	37.57293733324211	37.61301224601491	37.51577786139426	37.55267325716631	37.52725510523209	37.39900457519134	37.549341086928635	37.32478556462992	37.414546542951214	37.4063847526273	37.40270071494544	37.42681216433483	37.068131905722986	37.30349433858995	37.18370334895495	37.03354770293846	37.04641158964184	37.02763486470769	36.94607635206787	36.88341771285875	36.94635001539356	36.97578079567612	36.95563062292614	37.07417986522081	36.90061403208702	36.70896931549961	36.74485512947696	36.73893373926727	36.640909246399616	36.53577976943865	36.52611882221139	36.30951073710138	36.45085392239868	36.108626454917854	36.25157229477213	36.193038629619174	36.31033857574125	35.989747799984606	36.07408984785899	35.82996639043538	35.36243254568934	35.204375229836394	35.78685036474502	35.10556482027863	34.83810452318034	34.873003737246755	34.860351831421944	33.86201092952253	34.503031702456994	34.00135609602171	28.242216798599667	24.189463906581743
