Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
16S0093O_S59_L001_R1_001										3.09757567387729	2.164442379882236	6.661247190870172	5.25291584537545	19.442944846894576	6.507451256104757	52.636501738835676
16S0093O_S59_L001_R2_001										4.049854992404364	2.396391759048851	8.564550350905826	4.789330956296845	14.130393843140702	9.349223487464062	50.14971563445532
16S0093W_S71_L001_R1_001										7.8894690426529674	4.563461511541638	9.817041589092486	5.574142251214357	7.028570628665817	39.72031300306564	15.844730321822025
16S0093W_S71_L001_R2_001										10.189397651077172	4.655850609628064	9.054131612469728	5.551744894102495	15.357587804639053	39.46274339627924	0.0
16S0094C_S3_L001_R1_001										3.495299562787271	1.8273249947950865	7.030636921253663	7.298089396390192	16.40348488973591	39.14495283547669	18.596755337038164
16S0094C_S3_L001_R2_001										4.219182908665781	2.2220976601912206	8.661776717221056	9.33761470828462	44.37949424256498	11.61256225877228	8.888390640764882
16S0094O_S77_L001_R1_001										9.88851187590887	0.0	23.557925351429958	0.0	51.23606398448861	0.0	0.0
16S0094O_S77_L001_R2_001										7.998061076102762	0.0	22.539990305380513	47.455162384876395	0.0	0.0	0.0
16S0113C_S19_L001_R1_001										13.199013157894738	4.810855263157895	10.115131578947368	0.0	43.00986842105263	0.0	0.0
16S0113C_S19_L001_R2_001										17.68092105263158	5.715460526315789	5.756578947368421	40.46052631578947	0.0	0.0	0.0
16S0113O_S11_L001_R1_001										3.255380211979448	2.447605737859488	6.026405726493298	3.591199468888929	12.14839077995314	7.210297768351877	61.60965919511874
16S0113O_S11_L001_R2_001										3.3023949079467756	2.290287332122662	8.262703655005128	4.135743310092919	16.15316457985136	3.7957908930983977	55.48741581915358
16S0117C_S27_L001_R1_001										3.3034605077078143	1.336854524287623	4.780954315672686	2.9042012079351807	11.694937767116972	18.167470133685452	53.90234945736676
16S0117C_S27_L001_R2_001										3.1979810449498776	1.2040285341479995	5.205997484119481	3.317524436075539	16.036003656621375	16.508707915647683	49.083110003359714
16S0117O_S34_L001_R1_001										3.5009929385793197	1.4372844898748567	6.9015127572559996	2.123614956815427	22.596546177540247	19.98188653613023	38.671301952386116
16S0117O_S34_L001_R2_001										4.460912182719567	2.065123563069289	7.815676636933541	6.759057911196857	34.722661169733534	13.686042727019723	21.915876168058983
16S0117W_S41_L001_R1_001										1.8027888622939359	1.5492397963800504	3.8168981847022443	1.5435620006423008	3.2188666055120754	4.126692914643212	82.26061437298505
16S0117W_S41_L001_R2_001										1.9253050484475664	1.470194233843566	4.868266267328367	2.288151682313134	4.705029639868062	1.9639850319109864	79.14306093516844
16S0118C_S54_L001_R1_001										5.257194652164061	3.597326082030365	17.366304101518242	22.27226376614548	41.001019714479945	0.0	0.0
16S0118C_S54_L001_R2_001										6.565828234760934	5.8180376161341485	23.660208474960346	21.705755721731247	27.566281441196466	0.0	0.0
16S0118O_S48_L001_R1_001										13.328313253012048	4.367469879518072	10.993975903614457	48.04216867469879	0.0	0.0	0.0
16S0118O_S48_L001_R2_001										16.490963855421686	0.0	11.219879518072288	46.68674698795181	0.0	0.0	0.0
16S0118W_S60_L001_R1_001										12.970219435736677	4.623824451410658	7.641065830721002	0.0	58.03291536050157	0.0	0.0
16S0118W_S60_L001_R2_001										12.73510971786834	2.3510971786833856	7.327586206896551	0.0	55.91692789968652	0.0	0.0
16S0119C_S72_L001_R1_001										14.488799540493968	12.65077541642734	21.48190695002872	17.66226306720276	20.18954623779437	0.0	0.0
16S0119C_S72_L001_R2_001										15.795519816197586	10.008615738081563	13.081562320505459	22.056289488799543	18.897185525560023	0.0	0.0
16S0119O_S66_L001_R1_001										3.3625049899617383	1.5612017244641052	3.6611109675817084	2.9610578802225835	14.813456687132106	12.05316403160573	57.96139540581827
16S0119O_S66_L001_R2_001										4.107811509039435	2.1093266239356487	6.028290478694634	3.574437728194388	17.230973348812284	8.441306799098932	51.56974403892295
16S0119W_S78_L001_R1_001										4.764396079662377	1.4781486519479614	3.9112692267447944	0.3711066931742876	17.00533640263681	8.469184890656063	59.025496145931434
16S0119W_S78_L001_R2_001										4.701614872170485	1.9915594154372014	5.141780893585853	0.3738969690628161	21.79414739632381	3.70897422482648	54.264587911129716
16S0120C_S12_L001_R1_001										4.368398743977233	1.4160532166120257	7.853602415162237	4.99641012776485	21.416399228393725	13.933029419651739	40.14255685406088
16S0120C_S12_L001_R2_001										5.306955701841648	1.9298807124382584	6.87611913185644	4.813023883463232	22.460489779676998	32.7820212278228	16.713234085620616
16S0120O_S4_L001_R1_001										3.948529573984601	1.4654620866150418	8.527478103558584	10.947669159662011	30.68149226730205	14.189666203366647	23.59631124936572
16S0120O_S4_L001_R2_001										5.830961678469786	2.148278068259536	10.695611886954795	7.508218059876012	17.907097315066075	15.758819246806539	30.338429633551744
16S0120W_S20_L001_R1_001										3.2196265817184324	2.1303424475710115	3.508539067339173	2.106008317847978	4.878329351384833	9.66551632598885	71.10786656048137
16S0120W_S20_L001_R2_001										3.976196796743651	2.6847181665339352	3.9155826917971863	1.3981063622688257	12.845323422705956	5.853021856472878	63.10016812671445
16S0123C_S28_L001_R1_001										3.786665872348031	1.8423227862711955	7.069187635437533	8.165347353057257	26.111239360474208	26.32123734985516	20.16204100173509
16S0123C_S28_L001_R2_001										5.5381384646317215	1.5891337210601173	10.44926165600542	5.816646436363907	25.71060489846374	30.145881581984852	10.303305606648447
16S0123O_S35_L001_R1_001										3.2154573233164827	1.4402903869550727	6.318486068894626	7.00751263817673	37.60936690664815	9.631515336462595	28.748388858327946
16S0123O_S35_L001_R2_001										4.195995133448706	2.2919368633229875	8.812392841511842	7.473288174521276	36.67219440507213	5.796496243680912	25.475111123603178
16S0123W_S42_L001_R1_001										4.712807323719421	2.6070849024830838	1.8730289948256331	2.3177489972750376	12.306726677076636	9.300082667401488	62.16052784666728
16S0123W_S42_L001_R2_001										5.114662747619485	2.7785432166804442	3.0112366430911486	2.105722421236337	19.618964514252472	5.270812283763511	53.927467009583296
16S0141C_S55_L001_R1_001										3.2668338511060373	0.7455926937904706	4.222779503686791	4.6097990043792345	17.67039712542576	36.01676834973986	27.78006512707265
16S0141C_S55_L001_R2_001										4.484036381330239	0.5427256054197702	3.7302092300782275	6.716322940449901	15.35352023056481	35.323576748886474	25.73642250252648
16S0141O_S49_L001_R1_001										4.158362933392009	1.4258322069594191	7.007826988966774	6.081790463018263	25.463175431427405	10.301763430044321	39.96259390815076
16S0141O_S49_L001_R2_001										5.022475088800176	2.424166221356049	9.971081004620752	7.704083236412787	31.104579888724736	5.432684751516676	29.017697167824473
16S0142C_S5_L001_R1_001										4.095382508726315	1.1084835323619227	5.904911518735849	4.430993854826041	23.976679421858	10.944122181011707	44.26835466432565
16S0142C_S5_L001_R2_001										4.278939652963587	1.425613152268422	8.358360670886661	5.636506449702402	33.00920305956576	17.957937271341144	20.208087435366462
16S0142O_S13_L001_R1_001										3.754640340022596	1.6671598429009522	6.274546726206489	3.9866573411524184	25.56491095927261	6.138026577715608	48.01810405121859
16S0142O_S13_L001_R2_001										5.053935546349599	2.4466024640878032	8.702318824985204	6.0169742293000485	13.84637111959972	10.775676548125034	44.28027653736483
16S0143C_S61_L001_R1_001										3.7559626212073822	0.9589067876133875	6.008562715045355	1.564454957772912	30.166953393806693	17.573115420706912	34.99130043791054
16S0143C_S61_L001_R2_001										4.6743040350328435	1.0576321551454488	5.504183609634032	3.3136534250860183	28.377189552705662	21.873533781670314	27.51798561151079
16S0143O_S67_L001_R1_001										4.282769283628243	2.2899845387390485	4.828208211647484	5.9079196014430515	28.818931455076445	0.0	48.65830613296684
16S0143O_S67_L001_R2_001										6.315066139838516	1.7789039683903112	5.976636316784058	8.733894519841952	26.122659336883697	5.556605394262154	36.23861879402164
16S0146C_S73_L001_R1_001										3.5799876377648214	1.7487863682861677	2.0914588521917663	1.350447679189153	5.54746266930298	8.638021464021197	74.4221016522742
16S0146C_S73_L001_R2_001										3.7350577807980514	2.182549006141356	3.5528774728988717	1.4256332030840524	5.151654262260121	14.93191733929998	63.624665189463904
16S0146O_S79_L001_R1_001										3.5979899497487438	1.3321151210598448	4.369118318867063	4.64321608040201	30.250038069133545	27.562661793817572	22.78970610628902
16S0146O_S79_L001_R2_001										4.243033348560987	1.7444799756357547	6.180599969544693	3.8239683264808892	30.892645043398815	19.22460788792447	25.843155169788336
16SNEGCTRL_S21_L001_R1_001										31.941031941031937	9.213759213759214	29.361179361179364	0.0	0.0	0.0	0.0
16SNEGCTRL_S21_L001_R2_001										17.076167076167074	14.127764127764127	27.14987714987715	0.0	0.0	0.0	0.0
